data,clasificador,porcentajeEtiquetado,accuracy,AUC,PR,F1score
TXNY,RF,0.1,0.840067275,0.795291224,0.745210902,0.734486952
TXNY,RF,0.3,0.840840997,0.794558936,0.74962386,0.733853615
TXNY,NB,0.0001,0.775777014,0.690138647,0.678109823,0.562592662
TXNY,NB,0.001,0.793097961,0.73363232,0.669477712,0.641999221
TXNY,NB,0.01,0.800275467,0.743467281,0.680639077,0.657294854
TXNY,NB,0.1,0.800231568,0.74289425,0.681336686,0.656381553
TXNY,NB,0.3,0.800483988,0.743931624,0.680697156,0.658019733
TXNY,LSVM,0.0001,0.791937378,0.699279352,0.748303711,0.573868968
TXNY,LSVM,0.001,0.830557629,0.777370856,0.740134181,0.709191337
TXNY,LSVM,0.01,0.831745648,0.778675511,0.74257629,0.71119358
TXNY,LSVM,0.1,0.831270989,0.776512243,0.744929625,0.7081619
TXNY,LSVM,0.3,0.83191027,0.778619408,0.743389533,0.711152392
